ID,SMILES,Standard value
735,CCCCCCOc1ccc(N)cc1,0
2259,c1ccc(Oc2ccccc2)cc1,0
1664,Clc1cc(Cl)c(Cl)cc1Cl,0
1234,CC(=O)CC(C)(C)O,0
1332,O=C1CCCCCN1,0
1567,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0
2003,Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,0
1256,COCCO,0
2212,Clc1ccc(Cl)c(Cl)c1,0
95737-68-1,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,0
2205,C[S+](C)[O-],0
1861-40-1,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1
1842,CN1CCCC1c1cccnc1,0
1078,Cc1ccc(S(N)(=O)=O)cc1,0
2303,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0
2343,CCCC(=O)OCCC(C)C,0
2294,CC(=O)OCCC(C)CC(C)(C)C,0
4466,C#CC(O)C(CC)CCCC,0
98319-26-7,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1
708,CCCCCCCCCCCCCC(=O)OCC(O)CO,0
1799,CC(C)(O)C#N,0
2378,CCNc1ccccc1,0
1549,Cc1ccc(N)cc1Cl,0
2369,CCCCN(CCCC)N=O,0
1931,CCO[Si](C)(OCC)OCC,0
2148,COC(=O)c1ccccc1C(=O)OC,0
1500,CC(=O)Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,0
2271,CC(=O)CC(c1ccccc1)C1C(=O)Oc2ccccc2C1=O,0
2441,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,0
113-48-4,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,0
61-82-5,Nc1ncn[nH]1,0
2406,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],0
797-63-7,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1
2361,CCCCCCCCO,0
24096-53-5,O=C1CCC(=O)N1c1cc(Cl)cc(Cl)c1,1
2472,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,0
57-85-2,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
80-46-6,CCC(C)(C)c1ccc(O)cc1,0
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1
1994,FC(F)(F)c1ccc(Cl)c(Cl)c1,0
2290,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,0
2238,CCO[Si](CCCNC(N)=O)(OCC)OCC,0
1145,O=C(c1ccccc1)C1CCCCC1,0
1679,O=C(Cc1ccccc1)c1ccccc1,0
2394,Clc1cccc(C(Cl)(Cl)Cl)n1,0
1393,Cc1cccc([N+](=O)[O-])c1,0
2123,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0
1933,Cc1ccc(C(C)C)c(O)c1,0
1327,COC(N)=O,0
1892,Cc1cccc(N)c1C,0
2256,C=CCN=C=S,0
2581-34-2,Cc1cc(O)ccc1[N+](=O)[O-],1
2365,CCCCCCCOC(=O)CCC,0
58-18-4,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
2383,CCOC(=O)COc1ccc(Cl)cc1Cl,0
1819,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2OCC(F)(F)F)n1,0
104-43-8,CCCCCCCCCCCCc1ccc(O)cc1,0
1868,CCC(=O)c1ccc(Cl)cc1,0
2283,CC(C)(C)OOC(C)(C)C,0
